[[34m2026-04-24 01:47:41[0m] (step=0000420) Train Loss mse: 0.2632, Train Loss ce: 0.0339, Train Steps/Sec: 0.17, Tokens/Sec: 31.50k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23239, Sample Lens: [5817, 5806, 5803, 5813], ETA: 7.51h, 
[[34m2026-04-24 01:48:40[0m] (step=0000430) Train Loss mse: 0.2299, Train Loss ce: 0.0307, Train Steps/Sec: 0.17, Tokens/Sec: 31.54k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23232, Sample Lens: [5803, 5813, 5803, 5813], ETA: 7.48h, 
[[34m2026-04-24 01:49:39[0m] (step=0000440) Train Loss mse: 0.2428, Train Loss ce: 0.0392, Train Steps/Sec: 0.17, Tokens/Sec: 31.67k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23228, Sample Lens: [5806, 5813, 5806, 5803], ETA: 7.43h, 
[[34m2026-04-24 01:50:38[0m] (step=0000450) Train Loss mse: 0.2144, Train Loss ce: 0.0317, Train Steps/Sec: 0.17, Tokens/Sec: 31.60k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23244, Sample Lens: [5806, 5817, 5803, 5818], ETA: 7.43h, 
[[34m2026-04-24 01:51:36[0m] (step=0000460) Train Loss mse: 0.2310, Train Loss ce: 0.0316, Train Steps/Sec: 0.17, Tokens/Sec: 31.55k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23227, Sample Lens: [5806, 5813, 5805, 5803], ETA: 7.43h, 
[[34m2026-04-24 01:52:35[0m] (step=0000470) Train Loss mse: 0.2329, Train Loss ce: 0.0357, Train Steps/Sec: 0.17, Tokens/Sec: 31.63k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23241, Sample Lens: [5816, 5803, 5818, 5804], ETA: 7.40h, 
[[34m2026-04-24 01:53:34[0m] (step=0000480) Train Loss mse: 0.2381, Train Loss ce: 0.0325, Train Steps/Sec: 0.17, Tokens/Sec: 31.56k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23229, Sample Lens: [5811, 5805, 5808, 5805], ETA: 7.39h, 
[[34m2026-04-24 01:54:33[0m] (step=0000490) Train Loss mse: 0.2304, Train Loss ce: 0.0301, Train Steps/Sec: 0.17, Tokens/Sec: 31.57k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23237, Sample Lens: [5816, 5803, 5813, 5805], ETA: 7.38h, 
[[34m2026-04-24 01:55:32[0m] (step=0000500) Train Loss mse: 0.2282, Train Loss ce: 0.0330, Train Steps/Sec: 0.17, Tokens/Sec: 31.67k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23241, Sample Lens: [5808, 5816, 5803, 5814], ETA: 7.34h, 
[[34m2026-04-24 01:56:31[0m] (step=0000510) Train Loss mse: 0.2329, Train Loss ce: 0.0347, Train Steps/Sec: 0.17, Tokens/Sec: 31.60k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23221, Sample Lens: [5804, 5804, 5810, 5803], ETA: 7.34h, 
